INDEX,SCHEDNUM,SITUS_CITY,SITUS_STATE,APPRAISED_TOTAL_VALUE,D_CLASS_CN,SALE_YEAR,SALE_PRICE
3163,5.1043E+11,DENVER,CO,573300,SFR Grade C,2017,530000
3168,1.15203E+11,DENVER,CO,784800,SFR Grade B,2017,783765
3185,6.20126E+11,DENVER,CO,274700,RESIDENTIAL-CONDOMINIUM,2017,190000
3248,2.32117E+11,DENVER,CO,695600,RESIDENTIAL-ROWHOUSE,2017,630000
3253,1.21501E+11,DENVER,CO,2337200,COMMERCIAL-RESTAURANT,2017,0
3267,6.29201E+11,DENVER,CO,129600,RESIDENTIAL-CONDOMINIUM,2017,115000
3305,6.184E+11,DENVER,CO,3763200,COMMERCIAL-MEDICAL OFFICE,2017,4750000
3355,14349005000,DENVER,CO,739500,SFR Grade B,2017,7740000
3358,2.34931E+11,DENVER,CO,582000,COMMERCIAL-CONDOMINIUM,2017,552000
3360,2.27907E+11,DENVER,CO,690600,RESIDENTIAL-CONDOMINIUM,2017,730000
3370,6.17104E+11,DENVER,CO,730900,SFR Grade B w/RK,2017,600000
3415,1.13607E+11,DENVER,CO,336300,SFR Grade C,2017,269321
3429,14337054000,DENVER,CO,565800,SFR Grade C,2017,530801
3434,5.02231E+11,DENVER,CO,812400,SFR Grade C,2017,655000
3440,2.29124E+11,DENVER,CO,609100,SFR Grade C,2017,540000
3486,2.27627E+11,DENVER,CO,379700,RESIDENTIAL-ROWHOUSE,2017,10
3494,6.07219E+11,DENVER,CO,1316800,SFR Grade B,2017,0
3517,6.10203E+11,DENVER,CO,178300,RESIDENTIAL-ROWHOUSE,2017,164941
3550,5.01121E+11,DENVER,CO,238900,RESIDENTIAL-CONDOMINIUM,2017,192000
3607,5.36126E+11,DENVER,CO,1023500,SFR Grade B,2017,610000
3662,1.1033E+11,DENVER,CO,593000,SFR Grade B,2017,508088
3689,2.32324E+11,DENVER,CO,607800,RESIDENTIAL-ROWHOUSE,2017,0
3697,17112020000,DENVER,CO,414500,SFR Grade C,2017,343000
3703,6.04206E+11,DENVER,CO,1001800,COMMERCIAL-RETAIL,2017,958500
3720,5.21205E+11,DENVER,CO,312300,SFR Grade C,2017,10
3751,6.27402E+11,DENVER,CO,156900,RESIDENTIAL-CONDOMINIUM,2017,128000
3787,2.2012E+11,DENVER,CO,495700,SFR Grade C,2017,10
3790,1.33431E+11,DENVER,CO,320800,SFR Grade C,2017,240000
3833,2.27708E+11,DENVER,CO,353700,RESIDENTIAL-CONDOMINIUM,2017,385000
3864,6.19418E+11,DENVER,CO,601900,SFR Grade C,2017,495000
3890,5.21205E+11,DENVER,CO,325200,SFR Grade C,2017,10
3893,5.10115E+11,DENVER,CO,621200,RESIDENTIAL-ROWHOUSE,2017,482000
