GEO_ID,Households!!Estimate!!Total_x,"Households!!Estimate!!Less than $10,000_x","Households!!Estimate!!$10,000 to $14,999_x","Households!!Estimate!!$15,000 to $24,999_x","Households!!Estimate!!$25,000 to $34,999_x","Households!!Estimate!!$35,000 to $49,999_x","Households!!Estimate!!$50,000 to $74,999_x","Households!!Estimate!!$75,000 to $99,999_x","Households!!Estimate!!$100,000 to $149,999_x","Households!!Estimate!!$150,000 to $199,999_x","Households!!Estimate!!$200,000 or more_x",Households!!Estimate!!Median income (dollars)_x,Households!!Estimate!!Mean income (dollars)_x,Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months_x,Households!!Estimate!!Total_y,"Households!!Estimate!!Less than $10,000_y","Households!!Estimate!!$10,000 to $14,999_y","Households!!Estimate!!$15,000 to $24,999_y","Households!!Estimate!!$25,000 to $34,999_y","Households!!Estimate!!$35,000 to $49,999_y","Households!!Estimate!!$50,000 to $74,999_y","Households!!Estimate!!$75,000 to $99,999_y","Households!!Estimate!!$100,000 to $149,999_y","Households!!Estimate!!$150,000 to $199,999_y","Households!!Estimate!!$200,000 or more_y",Households!!Estimate!!Median income (dollars)_y,Households!!Estimate!!Mean income (dollars)_y,Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months_y
1400000US08031006814,1968,8.3,6,11.3,13,14.9,16.6,13.4,7.7,4.5,4.3,48600,64489,29.8,2009,6.8,4.3,10,14.4,20.1,15.1,10,7.5,6.7,5.3,44375,71036,23.8
1400000US08031006901,2662,8.8,8,13.7,28.4,11.1,13.7,6.7,5,4.1,0.5,31449,45350,21.4,2626,12.6,8.2,17.7,26.6,12.4,8.6,6.1,4.5,2.4,0.9,28613,40605,24.9
1400000US08031007006,2416,7.6,7.7,18.7,22.1,19,12.5,5.7,6.1,0.6,0,31386,39706,19.4,2324,10.1,11.2,20.4,17.2,16.6,11,7.4,5.1,1.1,0,29847,38427,20.7
1400000US08031007013,1938,6.4,0.5,7.7,9.9,17.1,21.2,15,16.2,2.2,4,56940,70476,23.4,1851,6.5,0.4,7.7,11.9,18.3,17.8,15.3,17.3,1.7,3.2,56332,68886,19.4
1400000US08031007037,1759,9.2,3.2,22.5,18.3,18.9,12.4,7.6,4.7,1.6,1.6,32832,46316,34.4,1695,10.9,5.5,20.9,13.3,21.1,12.7,6.2,5.7,2.4,1.4,34010,46862,33.3
1400000US08031007088,2404,8.3,5.3,3.7,15.1,9.9,22,19.6,7.4,2.8,5.8,58864,70945,24.3,2422,9.6,5.2,6.5,15.2,10.5,20.9,15.9,7.5,3.2,5.6,53359,67647,20.6
1400000US08031007089,3448,5.7,11.1,26.6,17.7,17.1,13.6,3.7,3.8,0.8,0,27719,36500,25.9,3366,7.8,11.8,27.2,15.9,16.2,12.5,2.8,4.7,0.8,0.4,26652,37123,24.2
1400000US08031008304,931,9.7,2.4,12.7,13.2,24.3,16.5,13.5,7.2,0.5,0,42017,48300,54.7,884,5.4,3.6,9.8,15,30.3,15.2,12.7,7.5,0.5,0,42143,49877,61.8
1400000US08031008305,990,6.5,1.8,6.5,21.1,19.4,21.1,10.9,9.3,3.4,0,46149,55201,56.3,981,11.9,2.8,6.4,22,16.2,21.4,12.3,5.2,1.7,0,41964,48665,54
1400000US08031008306,1762,10.4,6.8,14.5,14.8,17.1,17.7,12.8,4,1.6,0.4,38750,45959,52.4,1698,10.2,6.4,15.8,15.2,15.8,16.5,14.5,3.8,0,1.6,38333,46713,50.8
1400000US08031008312,2099,12.6,5.5,8.2,12.7,20.7,17.8,12.5,6.7,2.8,0.3,41898,53021,46.4,2088,10.3,6.9,10.7,13.3,22.5,19,7.4,6.5,3.3,0.2,40872,50358,44.6
1400000US08031008386,1110,1.5,2.2,11.8,18.5,11.3,31.5,11.4,11,0,0.9,51325,61920,50.9,1099,1.3,2.2,10.2,17.2,18.5,33.4,7.6,9.6,0,0,50177,54819,49.3
1400000US08031008387,1592,3.1,6.3,11.1,7.9,18.1,21.4,22.4,6.3,1.8,1.6,56458,60300,55.5,1586,3.6,3.3,11.5,10.7,18.4,22.7,19.7,6.8,1.8,1.3,51610,58896,51.2
1400000US08031008388,2725,2.7,0.7,6,11.7,14,25.5,23.3,13.2,1.5,1.5,56954,69148,44.2,2662,3.8,0,6.4,10.3,16.4,24.6,24.4,10.2,1.5,2.4,56082,70779,46.8
1400000US08031008389,2651,1.8,0,1.7,5.1,10.4,22.6,20.1,23.3,14,1,85568,91037,42.1,2505,1.4,0.5,0.4,7.3,8.5,26.2,20.2,22.1,13.4,0,83672,88221,43.5
1400000US08031008390,2741,7.4,2.8,7.1,10.4,11.4,19.2,19.8,16.8,4.7,0.4,59831,66175,37,2740,7.6,2.4,7,10.9,11.4,22.3,18.4,15.8,3.4,0.8,58879,64189,28.9
1400000US08031008391,2357,0.6,1.4,5.5,8.7,17.8,19.5,26.6,12.4,6.8,0.7,73101,76522,23.8,2357,0,0.8,3,5.7,17.8,20.4,31.4,12.2,7.3,1.5,77580,82590,23.8
1400000US08031011902,2742,2.6,2.5,4.8,14.4,16.4,22.9,11.2,20,4,1.2,61458,69982,19.5,2812,1.8,3.7,8.4,14.6,16.5,21,12.2,16.1,4.3,1.4,57024,69134,27.5
1400000US08031011903,939,4.9,5.8,6.3,12.1,15.9,24,9.7,14.2,4.2,3.1,56595,67366,31.6,941,4.1,5.6,10.5,7.8,14.7,27.1,12.8,10.8,3.6,3,57946,65928,34.1
1400000US08031012001,885,6.4,4.6,6.8,9,11,14.6,8.1,13.8,12,13.7,71406,114891,30.6,959,7.5,4.6,8,9.5,11.3,13,5.7,18,9.1,13.2,65938,110296,30.9
1400000US08031012010,2352,4.7,2.1,8.9,7.3,11,23,14.4,11.9,9.2,7.5,61694,86008,16.4,2359,5.2,1.5,8.2,8.9,10.9,23.7,11.1,17,8.1,5.3,58836,79804,17.4
1400000US08031012014,2925,3.7,4.2,7.9,9.9,13.6,27.1,18.3,11.4,1.9,2.1,57182,69187,22,2860,2.2,3.9,8.6,11.7,14.2,25.7,18.5,10.3,3.5,1.4,59035,69303,22
1400000US08031015300,2258,7.1,9.5,12.9,12,14.7,21.6,10.6,7.3,1.7,2.7,42231,55749,21.6,2144,9,9,11.6,12,15.3,18.7,12.7,9.2,0.4,2.1,42388,54223,20.5
1400000US08031015400,1631,3.1,4.4,8.3,12,14.7,17.7,15.6,16.7,4.3,3.1,56691,70659,23.5,1681,3.8,4.6,11.8,11.4,15.8,14,15.9,16.5,2.7,3.5,52132,67438,21.9
1400000US08031015500,1748,6.6,6.2,12.8,20.4,17.5,19.1,11.5,5,0.5,0.4,38080,46045,27.2,1744,8.9,9.2,11.8,21,18.1,17.6,6.3,6.1,0.8,0,34559,42688,27.9
1400000US08031015600,2219,21.4,9.3,17.3,13.6,11.3,17.2,4.3,2.7,1.7,1.3,26173,39714,28.8,2124,17.1,11.9,18.3,14.4,14.3,14.6,4.5,1.8,1.9,1.3,26480,39131,24.2
1400000US08031015700,2037,15,5.8,9.3,11.6,16.6,15.9,6.5,14.1,2.9,2.3,41650,58263,25.6,2064,11.9,6.1,8.3,15.6,18.2,12.9,12.1,9.4,3.4,2.1,41432,55379,25.8
1400000US08031980000,529,6.4,12.3,10.4,11.2,14.6,24.2,6.2,9.8,0,4.9,45125,55503,27.2,503,4.4,12.1,9.1,6,25.4,25.6,7,5.2,0,5.2,47936,55675,21.7
1400000US08031980100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
